开始记录20240103104830
RX:ID 78c  Data:
02 76 2b 00 00 00 00 00 time：48:30:398
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：48:30:398

握手成功第 44 次,  传输了： 89956个数 
TX : ID - 71C, DATA - 18, 2e, 36, 2c, d0, 7, 0, 0time：48:30:398
TX : ID - 71C, DATA - 22, 20, 68, db, 2, 0, 6, 0time：48:30:413
TX : ID - 71C, DATA - 23, 0, 0, 70, 1d, 0, 20, 64time：48:30:413
TX : ID - 71C, DATA - 24, 0, 0, 0, 50, 1e, 0, 20time：48:30:413
TX : ID - 71C, DATA - 25, 70, db, 2, 0, 7, 0, 0time：48:30:413
TX : ID - 71C, DATA - 26, 0, 94, 1e, 0, 20, 64, 0time：48:30:413
TX : ID - 71C, DATA - 27, 0, 0, b0, 1c, 0, 20, 78time：48:30:414
TX : ID - 71C, DATA - 28, db, 2, 0, 8, 0, 0, 0time：48:30:414
TX : ID - 71C, DATA - 29, c0, 1d, 0, 20, 64, 0, 0time：48:30:414
TX : ID - 71C, DATA - 2a, 0, 68, 1e, 0, 20, a0, dbtime：48:30:415
TX : ID - 71C, DATA - 2b, 2, 0, 9, 0, 0, 0, 24time：48:30:415
TX : ID - 71C, DATA - 2c, 1e, 0, 20, 64, 0, 0, 0time：48:30:415
TX : ID - 71C, DATA - 2d, 24, 1d, 0, 20, a8, db, 2time：48:30:415
TX : ID - 71C, DATA - 2e, 0, a, 0, 0, 0, 38, 1dtime：48:30:415
TX : ID - 71C, DATA - 2f, 0, 20, 64, 0, 0, 0, aetime：48:30:416
TX : ID - 71C, DATA - 20, 1c, 0, 20, b0, db, 2, 0time：48:30:416
TX : ID - 71C, DATA - 21, b, 0, 0, 0, 70, 1c, 0time：48:30:416
TX : ID - 71C, DATA - 22, 20, 64, 0, 0, 0, 54, 1ctime：48:30:416
TX : ID - 71C, DATA - 23, 0, 20, b8, db, 2, 0, ctime：48:30:417
TX : ID - 71C, DATA - 24, 0, 0, 0, e8, 1d, 0, 20time：48:30:417
TX : ID - 71C, DATA - 25, 64, 0, 0, 0, b1, 1c, 0time：48:30:417
TX : ID - 71C, DATA - 26, 20, c0, db, 2, 0, d, 0time：48:30:418
TX : ID - 71C, DATA - 27, 0, 0, 58, 1c, 0, 20, 64time：48:30:418
TX : ID - 71C, DATA - 28, 0, 0, 0, 10, 1e, 0, 20time：48:30:418
TX : ID - 71C, DATA - 29, c8, db, 2, 0, e, 0, 0time：48:30:418
TX : ID - 71C, DATA - 2a, 0, 4c, 1c, 0, 20, 64, 0time：48:30:419
TX : ID - 71C, DATA - 2b, 0, 0, 60, 1d, 0, 20, d0time：48:30:419
TX : ID - 71C, DATA - 2c, db, 2, 0, f, 0, 0, 0time：48:30:419
TX : ID - 71C, DATA - 2d, 60, 1e, 0, 20, 64, 0, 0time：48:30:419
TX : ID - 71C, DATA - 2e, 0, 56, 1c, 0, 20, d8, dbtime：48:30:419
