开始记录20240103104809
TX : ID - 71C, DATA - 26, 20, 18, 1a, 0, 20, c8, 6time：48:23:309
TX : ID - 71C, DATA - 27, 0, 20, 10, b5, 88, b0, 59time：48:23:310
TX : ID - 71C, DATA - 28, 23, 8d, f8, 0, 30, 4, 22time：48:23:310
TX : ID - 71C, DATA - 29, 8d, f8, 1, 20, 2a, 4b, d9time：48:23:310
TX : ID - 71C, DATA - 2a, 78, 8d, f8, 2, 10, 19, 79time：48:23:310
TX : ID - 71C, DATA - 2b, 8d, f8, 3, 10, 5b, 79, 8dtime：48:23:311
TX : ID - 71C, DATA - 2c, f8, 4, 30, 26, 4b, 1b, 5ctime：48:23:311
TX : ID - 71C, DATA - 2d, 3, f0, 7f, 3, 8d, f8, 5time：48:23:311
TX : ID - 71C, DATA - 2e, 30, 1, 24, 8d, f8, 6, 40time：48:23:311
TX : ID - 71C, DATA - 2f, 8d, f8, 7, 20, 8d, f8, 8time：48:23:311
TX : ID - 71C, DATA - 20, 40, 12, 23, 8d, f8, 9, 30time：48:23:312
TX : ID - 71C, DATA - 21, 1f, 4b, 3, eb, 0, 10, 83time：48:23:312
TX : ID - 71C, DATA - 22, 78, 8d, f8, a, 30, e1, 23time：48:23:312
TX : ID - 71C, DATA - 23, 8d, f8, b, 30, 8d, f8, ctime：48:23:312
TX : ID - 71C, DATA - 24, 40, c3, 68, 1a, c, 8d, f8time：48:23:313
TX : ID - 71C, DATA - 25, d, 20, 1a, a, 8d, f8, etime：48:23:313
TX : ID - 71C, DATA - 26, 20, 8d, f8, f, 30, d0, 23time：48:23:313
TX : ID - 71C, DATA - 27, 8d, f8, 10, 30, 8d, f8, 11time：48:23:313
TX : ID - 71C, DATA - 28, 40, ff, 23, 8d, f8, 12, 30time：48:23:314
TX : ID - 71C, DATA - 29, 8d, f8, 13, 40, b, 23, 8dtime：48:23:314
TX : ID - 71C, DATA - 2a, f8, 14, 30, 43, 79, 8d, f8time：48:23:314
TX : ID - 71C, DATA - 2b, 15, 30, 83, 79, 8d, f8, 16time：48:23:314
TX : ID - 71C, DATA - 2c, 30, c3, 79, 8d, f8, 17, 30time：48:23:314
TX : ID - 71C, DATA - 2d, 3, 7a, 8d, f8, 18, 30, 43time：48:23:315
TX : ID - 71C, DATA - 2e, 7a, 8d, f8, 19, 30, 83, 7atime：48:23:315
TX : ID - 71C, DATA - 2f, 8d, f8, 1a, 30, 1c, 22, 1btime：48:23:315
TX : ID - 71C, DATA - 20, 21, 68, 46, ff, f7, b2, f8time：48:23:315
TX : ID - 71C, DATA - 21, 4, 4b, 1c, 70, 8, b0, 10time：48:23:316
TX : ID - 71C, DATA - 22, bd, 1c, 1a, 0, 20, e4, btime：48:23:316
TX : ID - 71C, DATA - 23, 0, 20, 0, c, 0, 20, 20time：48:23:316
TX : ID - 71C, DATA - 24, 1b, 0, 20, 0, b5, 85, b0time：48:23:316
TX : ID - 71C, DATA - 25, 59, 23, 8d, f8, 4, 30, 6time：48:23:317
TX : ID - 71C, DATA - 26, 23, 8d, f8, 5, 30, 1c, 4btime：48:23:317
TX : ID - 71C, DATA - 27, da, 78, 8d, f8, 6, 20, 1atime：48:23:317
TX : ID - 71C, DATA - 28, 79, 8d, f8, 7, 20, 5b, 79time：48:23:317
TX : ID - 71C, DATA - 29, 8d, f8, 8, 30, 18, 4b, 1btime：48:23:318
TX : ID - 71C, DATA - 2a, 5c, 3, f0, 7f, 2, 8d, f8time：48:23:318
TX : ID - 71C, DATA - 2b, 9, 20, 1, 21, 8d, f8, atime：48:23:318
TX : ID - 71C, DATA - 2c, 10, 13, f0, 1, f, 13, d1time：48:23:319
TX : ID - 71C, DATA - 2d, 0, 23, 8d, f8, b, 30, 8dtime：48:23:319
TX : ID - 71C, DATA - 2e, f8, c, 30, 8d, f8, d, 30time：48:23:319
TX : ID - 71C, DATA - 2f, 8d, f8, e, 30, 1c, 22, btime：48:23:319
TX : ID - 71C, DATA - 20, 21, 1, a8, ff, f7, 7a, f8time：48:23:319
