开始记录20240103112735
TX : ID - 71C, DATA - 29, 31, 30, 39, 32, 37, 33, 32time：27:37:787
TX : ID - 71C, DATA - 2a, 5a, 17, d, 32, 37, 31, 31time：27:37:787
TX : ID - 71C, DATA - 2b, 32, 30, 30, 39, 32, 37, 33time：27:37:788
TX : ID - 71C, DATA - 2c, 32, 5a, 30, 1e, 31, b, 30time：27:37:788
TX : ID - 71C, DATA - 2d, 9, 6, 3, 55, 4, 6, 13time：27:37:788
TX : ID - 71C, DATA - 2e, 2, 43, 4e, 31, f, 30, dtime：27:37:788
TX : ID - 71C, DATA - 2f, 6, 3, 55, 4, 3, c, 6time：27:37:789
TX : ID - 71C, DATA - 20, 31, 35, 32, 4f, 54, 41, 30time：27:37:789
TX : ID - 71C, DATA - 21, 82, 1, 22, 30, d, 6, 9time：27:37:789
TX : ID - 71C, DATA - 22, 2a, 86, 48, 86, f7, d, 1time：27:37:789
TX : ID - 71C, DATA - 23, 1, 1, 5, 0, 3, 82, 1time：27:37:789
TX : ID - 71C, DATA - 24, f, 0, 30, 82, 1, a, 2time：27:37:790
TX : ID - 71C, DATA - 25, 82, 1, 1, 0, a8, 3f, 20time：27:37:790
TX : ID - 71C, DATA - 26, e7, b2, e, a4, 10, 12, 60time：27:37:790
TX : ID - 71C, DATA - 27, 30, f1, d6, ed, 3f, 29, 4ftime：27:37:790
TX : ID - 71C, DATA - 28, cb, a3, b1, ea, 67, 8c, 6etime：27:37:791
TX : ID - 71C, DATA - 29, 4d, e6, 6f, 57, 65, dc, 9ftime：27:37:791
TX : ID - 71C, DATA - 2a, f0, 2f, 1, ce, ab, 28, 76time：27:37:791
TX : ID - 71C, DATA - 2b, 65, 78, ac, 83, 37, 4e, b4time：27:37:791
TX : ID - 71C, DATA - 2c, ce, 46, 73, 79, e9, 7e, 2ftime：27:37:792
TX : ID - 71C, DATA - 2d, f0, f5, f5, c3, c6, 58, fbtime：27:37:792
TX : ID - 71C, DATA - 2e, ad, c3, bb, ef, d3, fa, 7ctime：27:37:792
TX : ID - 71C, DATA - 2f, c2, 36, 80, 3b, 6, 50, 8atime：27:37:792
TX : ID - 71C, DATA - 20, d6, 55, b6, 52, f8, 59, 8ctime：27:37:792
TX : ID - 71C, DATA - 21, 29, d1, 4d, 72, 34, 91, b3time：27:37:793
TX : ID - 71C, DATA - 22, 6a, 9e, f5, 8a, 7d, 23, ctime：27:37:793
TX : ID - 71C, DATA - 23, ed, e1, be, e8, dd, 92, 44time：27:37:793
TX : ID - 71C, DATA - 24, e0, 2e, 47, 9d, a6, 93, fftime：27:37:793
TX : ID - 71C, DATA - 25, 81, ef, 38, c2, 77, 4a, d7time：27:37:794
TX : ID - 71C, DATA - 26, 5b, eb, 9f, b6, 1d, db, 27time：27:37:794
TX : ID - 71C, DATA - 27, de, 61, 60, 5c, fe, d5, 14time：27:37:794
TX : ID - 71C, DATA - 28, 24, 1d, fb, 3c, d5, 76, 56time：27:37:794
TX : ID - 71C, DATA - 29, cd, 87, 18, 4f, b0, a2, cdtime：27:37:795
TX : ID - 71C, DATA - 2a, 51, 7b, e5, 0, 58, 3c, ebtime：27:37:795
TX : ID - 71C, DATA - 2b, 61, 20, 31, c3, 41, 64, f7time：27:37:795
TX : ID - 71C, DATA - 2c, ff, 1b, 84, a3, 15, dc, 38time：27:37:795
TX : ID - 71C, DATA - 2d, f6, fe, 81, 73, da, f2, d7time：27:37:796
TX : ID - 71C, DATA - 2e, 45, f6, 58, 7d, d6, 2a, fdtime：27:37:796
TX : ID - 71C, DATA - 2f, 22, 43, 5d, a8, cd, 91, 8etime：27:37:796
TX : ID - 71C, DATA - 20, 71, e6, 2e, a5, 82, dd, dbtime：27:37:796
TX : ID - 71C, DATA - 21, d3, 1c, 47, a6, 4d, 66, 50time：27:37:796
TX : ID - 71C, DATA - 22, 56, 98, 9c, a1, 38, bd, 55time：27:37:797
TX : ID - 71C, DATA - 23, ef, 3f, ce, e4, f3, 5e, 65time：27:37:799
TX : ID - 71C, DATA - 24, f7, 46, 98, 1d, 94, c8, 12time：27:37:799
TX : ID - 71C, DATA - 25, 51, 8b, 4e, 33, 94, 1f, 3atime：27:37:799
TX : ID - 71C, DATA - 26, 22, f, ca, 42, 3d, 24, 31time：27:37:800
TX : ID - 71C, DATA - 27, 21, 3e, 74, 48, d4, 24, a9time：27:37:800
TX : ID - 71C, DATA - 28, 2b, e7, cb, 7e, d7, 72, 1ctime：27:37:800
TX : ID - 71C, DATA - 29, 98, 2c, 93, 8f, d0, 12, 61time：27:37:800
TX : ID - 71C, DATA - 2a, a1, 2, 3, 1, 0, 1, a3time：27:37:801
TX : ID - 71C, DATA - 2b, 7b, 30, 79, 30, 1f, 6, 3time：27:37:801
TX : ID - 71C, DATA - 2c, 55, 1d, 23, 4, 18, 30, 16time：27:37:801
TX : ID - 71C, DATA - 2d, 80, 14, bd, b2, e4, 92, 3btime：27:37:801
TX : ID - 71C, DATA - 2e, 94, cd, ac, dc, 82, b2, 9ftime：27:37:801
TX : ID - 71C, DATA - 2f, 33, e4, c, ab, cf, 0, c9time：27:37:802
TX : ID - 71C, DATA - 20, 8c, 30, 1d, 6, 3, 55, 1dtime：27:37:802
TX : ID - 71C, DATA - 21, e, 4, 16, 4, 14, f3, d0time：27:37:802
TX : ID - 71C, DATA - 22, 18, d6, 47, d0, 1b, 16, b6time：27:37:802
TX : ID - 71C, DATA - 23, fe, 23, da, a2, 7e, f4, 17time：27:37:803
TX : ID - 71C, DATA - 24, fb, 30, 5e, ac, 30, b, 6time：27:37:803
TX : ID - 71C, DATA - 25, 3, 55, 1d, f, 4, 4, 3time：27:37:803
TX : ID - 71C, DATA - 26, 2, 4, f0, 30, 2a, 6, 3time：27:37:803
TX : ID - 71C, DATA - 27, 55, 1d, 1f, 4, 23, 30, 21time：27:37:804
TX : ID - 71C, DATA - 28, 30, 1f, a0, 1d, a0, 1b, 86time：27:37:804
TX : ID - 71C, DATA - 29, 19, 68, 74, 74, 70, 3a, 2ftime：27:37:804
TX : ID - 71C, DATA - 2a, 2f, 31, 32, 37, 2e, 30, 2etime：27:37:804
TX : ID - 71C, DATA - 2b, 30, 2e, 31, 2f, 63, 72, 6ctime：27:37:804
TX : ID - 71C, DATA - 2c, 32, 2e, 63, 72, 6c, 30, dtime：27:37:805
TX : ID - 71C, DATA - 2d, 6, 9, 2a, 86, 48, 86, f7time：27:37:805
TX : ID - 71C, DATA - 2e, d, 1, 1, b, 5, 0, 3time：27:37:805
TX : ID - 71C, DATA - 2f, 82, 1, 1, 0, 9b, 18, 20time：27:37:805
TX : ID - 71C, DATA - 20, fb, 3, e8, 57, 3f, 5e, 35time：27:37:805
TX : ID - 71C, DATA - 21, f7, d0, 19, 6c, d5, f4, a5time：27:37:806
TX : ID - 71C, DATA - 22, 71, 10, 24, ec, 13, bb, 1atime：27:37:806
TX : ID - 71C, DATA - 23, 2a, d6, 90, 33, 70, c2, 25time：27:37:806
TX : ID - 71C, DATA - 24, a8, 44, 9c, 3, 9d, 80, 21time：27:37:807
TX : ID - 71C, DATA - 25, 5a, 3a, 1a, 28, b3, 96, 9ctime：27:37:807
TX : ID - 71C, DATA - 26, 35, b, 65, 1b, 84, 35, dtime：27:37:807
TX : ID - 71C, DATA - 27, 1c, 45, da, ce, f8, d2, dtime：27:37:807
TX : ID - 71C, DATA - 28, 41, 4a, e8, b9, 80, fb, 31time：27:37:808
TX : ID - 71C, DATA - 29, 54, 5b, ed, fd, 10, 50, a1time：27:37:808
TX : ID - 71C, DATA - 2a, 72, 3d, 18, 27, 50, b4, b5time：27:37:808
TX : ID - 71C, DATA - 2b, 3f, 5b, 37, 72, 74, c5, 1dtime：27:37:808
TX : ID - 71C, DATA - 2c, fa, 92, 4e, e8, e0, f0, f6time：27:37:809
TX : ID - 71C, DATA - 2d, 70, 38, d4, 76, 82, cc, c8time：27:37:809
TX : ID - 71C, DATA - 2e, 89, 60, 89, ae, 44, 37, 16time：27:37:809
TX : ID - 71C, DATA - 2f, f4, 7e, d2, 22, d5, b8, 33time：27:37:809
TX : ID - 71C, DATA - 20, ea, 3e, 25, ac, 58, b6, 9time：27:37:809
TX : ID - 71C, DATA - 21, ab, 5, c1, 73, 8b, e4, 83time：27:37:810
TX : ID - 71C, DATA - 22, 0, bc, 55, d4, e4, dc, a2time：27:37:810
TX : ID - 71C, DATA - 23, 3d, b2, db, 58, 91, f3, 2ftime：27:37:810
TX : ID - 71C, DATA - 24, 14, b6, 13, 31, 33, b0, 3time：27:37:810
TX : ID - 71C, DATA - 25, 79, 17, 1c, 66, 33, eb, 41time：27:37:811
TX : ID - 71C, DATA - 26, e0, 32, c8, 36, 14, 5f, 9dtime：27:37:811
TX : ID - 71C, DATA - 27, d0, 12, a3, 52, 1e, 7a, 52time：27:37:811
TX : ID - 71C, DATA - 28, 9e, f2, 8e, 70, 5e, a9, b6time：27:37:811
TX : ID - 71C, DATA - 29, a, 6b, da, 96, f0, 69, fctime：27:37:812
TX : ID - 71C, DATA - 2a, f2, 66, 46, bf, cb, e7, 3dtime：27:37:812
TX : ID - 71C, DATA - 2b, 9d, 6a, e6, 5e, 45, 9, 8atime：27:37:812
TX : ID - 71C, DATA - 2c, 95, 63, 6, 22, ef, fa, 43time：27:37:812
TX : ID - 71C, DATA - 2d, 19, 9d, a4, 1d, b2, ef, d7time：27:37:813
TX : ID - 71C, DATA - 2e, 97, 2c, e3, aa, b4, 93, a1time：27:37:813
TX : ID - 71C, DATA - 2f, 6, 41, 57, b8, 9, 10, 2etime：27:37:813
TX : ID - 71C, DATA - 20, f, 9f, 41, 5c, da, a6, c8time：27:37:813
TX : ID - 71C, DATA - 21, 94, 88, 97, 13, 1, 61, cetime：27:37:813
TX : ID - 71C, DATA - 22, 72, 29, a, 1f, fa, f, 57time：27:37:814
TX : ID - 71C, DATA - 23, 11, 87, 72, 39, 28, b0, e5time：27:37:814
TX : ID - 71C, DATA - 24, fa, 0, 0, 0, 0, 0, 0time：27:37:814
RX:ID 78c  Data:
03 7f 31 78 00 00 00 00 time：27:37:819
RX:ID 78c  Data:
05 71 01 df fc 00 00 00 time：27:38:101
TX : ID - 71C, DATA - 10, d, 31, 1, ff, 0, 44, 0time：27:38:271
RX:ID 78c  Data:
30 00 00 00 00 00 00 00 time：27:38:272
TX : ID - 71C, DATA - 21, 1, 80, 0, 0, 6, 80, 0time：27:38:272
擦除 起始地址： 0x18000, 长度 425984

RX:ID 78c  Data:
03 7f 31 78 00 00 00 00 time：27:38:275
RX:ID 78c  Data:
04 71 01 ff 00 00 00 00 time：27:38:768

开始传输 传输地址： 0x18000 ， 总共有 425984 个数据
TX : ID - 71C, DATA - 10, b, 34, 0, 44, 0, 1, 80time：27:38:768
RX:ID 78c  Data:
30 00 00 00 00 00 00 00 time：27:38:770
TX : ID - 71C, DATA - 21, 0, 0, 6, 80, 0, 0, 0time：27:38:770
RX:ID 78c  Data:
03 7f 34 78 00 00 00 00 time：27:38:771
RX:ID 78c  Data:
04 74 20 08 2e 00 00 00 time：27:38:771

握手成功第 1 次,  传输了： 0个数 
TX : ID - 71C, DATA - 18, 2e, 36, 1, 0, 60, 0, 20time：27:38:772
RX:ID 78c  Data:
30 00 00 00 00 00 00 00 time：27:38:772
TX : ID - 71C, DATA - 21, 31, 84, 1, 0, 99, 84, 1time：27:38:773
TX : ID - 71C, DATA - 22, 0, 1, d1, 1, 0, 3d, d0time：27:38:773
TX : ID - 71C, DATA - 23, 1, 0, 9d, d0, 1, 0, f1time：27:38:773
TX : ID - 71C, DATA - 24, cf, 1, 0, 0, 0, 0, 0time：27:38:773
TX : ID - 71C, DATA - 25, 0, 0, 0, 0, 0, 0, 0time：27:38:773
TX : ID - 71C, DATA - 26, 0, 0, 0, 0, 0, 99, 84time：27:38:773
